,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,SoilDensity,Soil_pop_wgt,max_soil,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged,Years_Before_Data_Age,avg_diff,avg_pred,ct,actual
1075,0,2011,3.0,8.0,6.8,MYANMAR (BURMA),20.687,99.822,60.0,33841.8,2368926.0,26355.713112110505,111926.72,0.60273486,0.6478628,0.74,1.3547142675944772,1.3801230194581044,1.4500000476836945,0.0815659242639171,0.280287829120375,0.7867653722359222,6309573.44480193,4,0.9340427164711037,1.0659572835288962,3,2.0
1076,0,2011,3.0,26.0,5.5,CHINA,24.719,97.969,30.0,57070.48,3994933.8,44234.636823692366,192969.84,0.60006386,0.61750287,0.64671975,1.4240000247955285,1.4260457223385896,1.850000023841929,0.1329360748451911,0.280785050013486,0.7878185355105181,316227.7660168379,4,1.6537694115797632,0.3462305884202368,1,2.0
1077,0,2011,3.0,50.0,5.5,PHILIPPINES,9.457,125.935,170.0,78797.484,5515824.0,78328.4551350728,343260.4,0.59553665,0.61539394,0.7466452,0.9864285673414288,1.0854545152690769,1.5099999904632997,0.1016070863502713,0.4122801633473158,0.9805640477039969,316227.7660168379,4,-0.21823354447219248,0.21823354447219248,3,0.0
1078,0,2011,4.0,11.0,6.6,JAPAN,37.001,140.401,30.0,194317.44,13602220.0,429397.6865038657,3383988.5,0.89598626,0.89386374,0.9007292,1.0794285655021685,1.0631991600457882,1.4099999666215126,0.1266964877214761,0.3256282498517576,0.8421427666494579,3981071.7055349695,4,-0.1466776120178621,1.1466776120178621,1,1.0
1079,0,2011,4.0,26.0,5.4,NEPAL,29.698,80.754,60.0,79327.61,5552932.5,116596.84964137526,768094.94,0.5952033,0.58369,0.66452897,1.406999981403342,1.363309824271655,1.8799999952316175,0.1413152504258913,0.2803638299612614,0.787475464257997,251188.6431509582,4,-0.5789742346286344,0.5789742346286344,2,0.0
1080,0,2011,4.0,43.0,5.1,CHINA,31.373,100.757,30.0,5569.5093,389865.62,4186.290598416269,24464.836,0.7030024,0.7030024,0.7030024,1.658571464674813,1.6649069844971436,1.8300000429154188,0.1180169479536564,0.2808046875931472,0.7874617649889443,125892.5411794166,4,-0.1892721028043364,0.1892721028043364,2,0.0
1081,0,2011,5.0,1.0,5.1,SPAIN,37.699,-1.672,130.0,52366.047,3665623.2,82380.78232093407,469342.28,0.85878354,0.8614986,0.870629,1.4608571478298709,1.4657937328624604,1.5000000000000124,0.0876641317749933,0.3311950471698794,0.8575782264227172,125892.5411794166,4,1.7371214202776148,0.2628785797223851,3,2.0
1082,0,2011,5.0,7.0,4.3,TURKEY,39.12,29.04,140.0,64866.72,4540670.0,187978.8783981912,1527656.0,0.767,0.767,0.767,1.4537142855780452,1.4672736704252949,1.5000000000000195,0.0851469318435698,0.2807259057379759,0.7870815409156887,19952.62314968879,4,0.727293948598407,0.2727060514015929,3,1.0
1083,0,2011,6.0,21.0,5.3,CHINA,43.015,88.247,40.0,61189.97,4283298.0,404180.4288186053,3382446.0,0.7083121,0.70831203,0.7083121,1.7497143030166773,1.8675726284645109,1.879999995231696,0.1642680735799523,0.2871709453363701,0.793686214738781,199526.2314968879,4,-0.7371668254208945,0.7371668254208945,1,0.0
1084,0,2011,6.0,29.0,5.3,CHINA,32.447,95.948,40.0,5374.9116,376243.8,5053.060732563073,35305.0,0.6586741,0.66294116,0.6775159,1.7475714308874943,1.7614136303335457,1.8799999952316744,0.1025329215241396,0.2803568956684157,0.7871740664507902,199526.2314968879,4,-0.1965193873657155,0.1965193873657155,4,0.0
