,I_D,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,avg_density,dst_avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged
1104,8121,No,2008,7.0,10.0,5.0,5.0,4.2,4.9,0.0,0.0,0.0,0.0,IRAN,35.5,58.8,140.0,0,30249.943,28745.812914956732,1572997.1,37525.150129551526,242629.05,0.774,0.7740001,0.774,0.14577379737212345,0.23938935478323073,0.6769889440291893,100000.0
1106,8123,No,2008,5.0,13.0,5.6,5.6,5.2,5.3,0.0,0.0,0.0,0.0,COSTA RICA,8.423,-82.968,100.0,0,40901.992,50155.63342549821,3967493.2,162404.85018841462,1549666.0,0.7829278,0.77900565,0.788,0.10465658125772705,0.49018937605586943,1.1916441083720917,398107.1705534969
1107,8124,No,2008,5.0,10.0,5.7,5.7,5.2,5.5,0.0,0.0,0.0,0.0,CHINA,32.71,105.54,30.0,0,83701.03,92616.05773056351,8370103.0,76921.02068881488,368381.53,0.69787323,0.7018924,0.73804635,0.12020815280911006,0.33493549172570636,0.9412173150868165,501187.2336272725
1108,8125,No,2008,6.0,4.0,5.5,5.5,5.3,5.5,0.0,0.0,0.0,0.0,ALGERIA,35.883,-0.658,15.0,1,175084.9,147093.50105069907,4202038.0,260848.55388719912,1307035.9,0.745,0.745,0.745,0.033955853702004254,0.2518832567226799,0.610615569683104,316227.7660168379
1109,8126,No,2008,6.0,11.0,3.8,0.0,0.0,3.8,0.0,0.0,0.0,0.0,INDIA,24.702,84.964,60.0,0,736541.7,718046.4517104068,9575042.0,271689.6556877886,1178409.1,0.5005353,0.49913427,0.50992423,0.11768602294167634,0.11735932790917425,0.33681442708907533,6309.57344480193
1110,8127,No,2008,4.0,33.0,6.1,6.1,5.8,5.6,0.0,0.0,0.0,0.0,GUATEMALA,13.564,-90.599,100.0,0,202159.14,199246.32374228834,19002958.0,280191.9378328115,2257999.2,0.6440336,0.6501395,0.72968847,0.31208492434570506,0.4465273859922977,1.355331687056917,1258925.411794166
1111,8128,No,2008,4.0,1.0,5.0,5.0,4.8,4.8,4.7,0.0,0.0,0.0,USA,39.52,-119.93,150.0,0,15840.529,7808.174645218732,792026.44,41808.75559906928,259935.62,0.92972887,0.9115261,0.9511953,0.11853269592048662,0.23637828140072786,0.6647501800826067,100000.0
1112,8129,No,2008,5.0,16.0,4.5,0.0,0.0,4.5,4.7,0.0,0.0,0.0,IRAN,33.86,48.59,140.0,0,76238.06,69623.16596248413,838618.7,34272.12901017882,142660.33,0.774,0.7739999,0.774,0.03807886554598913,0.12511947973216278,0.31033722975717687,31622.776601683792
1113,8130,No,2008,5.0,39.0,6.8,6.8,6.7,6.1,0.0,0.0,0.0,0.0,JAPAN,36.158,141.521,30.0,0,467791.72,486989.5829483669,46779172.0,1102865.9365863837,8057306.0,0.89658904,0.9072967,0.9359721,0.7052694520314454,0.47203290020219923,1.8212202205315182,6309573.44480193
1114,8132,No,2008,8.0,17.0,5.9,5.9,5.8,5.7,0.0,0.0,0.0,0.0,CHINA,26.272,101.937,30.0,43,102835.45,111965.50291143786,10283545.0,235523.51078948108,2337571.8,0.6675443,0.66394967,0.7030024,0.12022063050614792,0.33429877844837375,0.9407469816372053,794328.2347242822
